date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:22%20GMT	https://casper.ghost.org/v1.0.0/images/private.png	C:/My%20Web%20Sites/turji/casper.ghost.org/v1.0.0/images/private.bf.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/)
18:03:20	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/publishing-options.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/publishing-options.c0.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/)
18:03:20	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.c1.delayed	(from https://writter.electronthemes-ghost.com/themes-2/amp/)
18:03:20	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.c2.delayed	(from https://writter.electronthemes-ghost.com/themes-2/amp/)
18:03:20	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.c3.delayed	(from https://writter.electronthemes-ghost.com/themes-2/amp/)
18:03:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:22%20GMT	https://casper.ghost.org/v1.0.0/images/marketplace.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v1.0.0/images/marketplace.c4.delayed	(from https://writter.electronthemes-ghost.com/themes-2/amp/)
18:03:21	27237/27237	---MCZ	200	added ('OK')	text/html	etag:W/%226a65-iT1qFb2YMX4X6aZx29ZUC7aUwGU%22	https://writter.electronthemes-ghost.com/tag/getting-started/page/4/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/tag/getting-started/page/4/index.html	(from https://writter.electronthemes-ghost.com/tag/getting-started/page/3/)
18:03:21	20713/20713	---MCZ	200	added ('OK')	text/html	etag:W/%2250e9-TK5QJB8JbAfc00bXHnlal76sjx4%22	https://writter.electronthemes-ghost.com/admin-settings-2/amp/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/admin-settings-2/amp/index.html	(from https://writter.electronthemes-ghost.com/admin-settings-2/)
18:03:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:22%20GMT	https://writter.electronthemes-ghost.com/contact	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact	(from https://writter.electronthemes-ghost.com/page/5/)
18:03:21	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.c6.delayed	(from https://writter.electronthemes-ghost.com/author/enamul/page/3/)
18:03:22	35435/35435	---MCZ	200	added ('OK')	text/html	etag:W/%228a6b-KcG8JxDM3pEJ3cqf/NczWShzRmk%22	https://writter.electronthemes-ghost.com/page/6/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/page/6/index.html	(from https://writter.electronthemes-ghost.com/page/5/)
18:03:22	356498/356498	---M--	200	added ('OK')	image/jpeg	etag:W/%2257092-1792df40809%22	https://writter.electronthemes-ghost.com/content/images/2018/09/photo-1526749837599-b4eba9fd855e.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/photo-1526749837599-b4eba9fd855e.jpg	(from https://writter.electronthemes-ghost.com/nature-valley-with-cooling-environment/amp/)
18:03:23	56120/56120	---M--	200	added ('OK')	image/jpeg	etag:W/%22db38-1792df4372c%22	https://writter.electronthemes-ghost.com/content/images/2018/09/small-lists-port12-img-1.jpg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/small-lists-port12-img-1.jpg	(from https://writter.electronthemes-ghost.com/news-in-agency/amp/)
18:03:24	108709/108709	---M--	200	added ('OK')	image/jpeg	etag:W/%221a8a5-1792df43fc6%22	https://writter.electronthemes-ghost.com/content/images/2018/09/small-lists-port13-img-1.jpg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/small-lists-port13-img-1.jpg	(from https://writter.electronthemes-ghost.com/projects-and-news/amp/)
18:03:24	54626/54626	---M--	200	added ('OK')	image/jpeg	etag:W/%22d562-1792df40c24%22	https://writter.electronthemes-ghost.com/content/images/2018/09/port-featured-img-1.jpg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/port-featured-img-1.jpg	(from https://writter.electronthemes-ghost.com/ohlen-member-new-passion/amp/)
18:03:24	26170/26170	---MCZ	200	added ('OK')	text/html	etag:W/%22663a-KpVhs5UvwoItAylfqzEe+ETlIk0%22	https://writter.electronthemes-ghost.com/author/king/page/4/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/author/king/page/4/index.html	(from https://writter.electronthemes-ghost.com/author/king/page/3/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/admin-settings.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/admin-settings.cc.delayed	(from https://writter.electronthemes-ghost.com/tag/getting-started/page/4/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.cd.delayed	(from https://writter.electronthemes-ghost.com/tag/getting-started/page/4/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/admin-settings.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/admin-settings.ce.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/amp/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/admin-settings.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/admin-settings.cf.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/amp/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/admin-settings.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/admin-settings.d0.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/amp/)
18:03:24	0/-1	---M--	301	error ('')			https://casper.ghost.org/v1.0.0/images/private.png	C:/My%20Web%20Sites/turji/casper.ghost.org/v1.0.0/images/private.d1.delayed	(from https://writter.electronthemes-ghost.com/admin-settings-2/amp/)
18:03:25	397786/397786	---M--	200	added ('OK')	image/png	etag:W/%22611da-1792df429b0%22	https://writter.electronthemes-ghost.com/content/images/2018/09/Screenshot-at-Sep-19-01-09-16.png	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/Screenshot-at-Sep-19-01-09-16.png	(from https://writter.electronthemes-ghost.com/inovative-team-projects-and-agency-news/amp/)
18:03:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:26%20GMT	https://writter.electronthemes-ghost.com/contact	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact	(from https://writter.electronthemes-ghost.com/page/6/)
18:03:26	34616/34616	---MCZ	200	added ('OK')	text/html	etag:W/%228738-tRT1TCSJNQqshvJoEHhfLbgVDcQ%22	https://writter.electronthemes-ghost.com/page/7/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/page/7/index.html	(from https://writter.electronthemes-ghost.com/page/6/)
18:03:26	28196/28196	---M--	200	added ('OK')	image/jpeg	etag:W/%226e24-1792df0e8ee%22	https://writter.electronthemes-ghost.com/content/images/size/w600/2018/09/photo-1491227289289-742c2e7289a7-1.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/size/w600/2018/09/photo-1491227289289-742c2e7289a7-1.jpg	(from https://writter.electronthemes-ghost.com/page/6/)
18:03:26	190506/190506	---M--	200	added ('OK')	image/jpeg	etag:W/%222e82a-1792df3c5e7%22	https://writter.electronthemes-ghost.com/content/images/2018/09/photo-1423798402048-1eb649bf30db-1482x635.jpg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/photo-1423798402048-1eb649bf30db-1482x635.jpg	(from https://writter.electronthemes-ghost.com/best-tips-for-a-successful-magazine/amp/)
18:03:27	73678/73678	---M--	200	added ('OK')	image/jpeg	etag:W/%2211fce-1792df0e8ef%22	https://writter.electronthemes-ghost.com/content/images/size/w600/2018/09/photo-1526749837599-b4eba9fd855e.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/size/w600/2018/09/photo-1526749837599-b4eba9fd855e.jpg	(from https://writter.electronthemes-ghost.com/page/6/)
18:03:28	37477/37477	---M--	200	added ('OK')	image/jpeg	etag:W/%229265-1792df0e8ee%22	https://writter.electronthemes-ghost.com/content/images/size/w600/2018/09/3.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/size/w600/2018/09/3.jpg	(from https://writter.electronthemes-ghost.com/author/king/page/4/)
18:03:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:29%20GMT	https://writter.electronthemes-ghost.com/contact	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact	(from https://writter.electronthemes-ghost.com/page/7/)
18:03:28	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/publishing-options.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/publishing-options.d7.delayed	(from https://writter.electronthemes-ghost.com/page/7/)
18:03:28	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/admin-settings.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/admin-settings.d8.delayed	(from https://writter.electronthemes-ghost.com/page/7/)
18:03:28	24574/24574	---MCZ	200	added ('OK')	text/html	etag:W/%225ffe-Z6Ruu6QM5K9KVj7ieuTObxcZxgQ%22	https://writter.electronthemes-ghost.com/page/8/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/page/8/index.html	(from https://writter.electronthemes-ghost.com/page/7/)
18:03:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:03:30%20GMT	https://writter.electronthemes-ghost.com/contact	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/contact	(from https://writter.electronthemes-ghost.com/page/8/)
18:03:29	0/-1	---M--	301	error ('')			https://casper.ghost.org/v2.0.0/images/creating-a-custom-theme.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/creating-a-custom-theme.da.delayed	(from https://writter.electronthemes-ghost.com/page/8/)
